form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,analysis_tag,paradigm_tag,source,page,language_id
komlitan110,mu,2.pl.3.sg.fut.neg,mu-no-ni-cha-u,Σ-no-ni-cha-u,Σ+no+ni+cha+u,Σ n o n i tʃ a u,Σ + n o + n i + tʃ a + u,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan111,mu,2.pl.3.pl.fut.neg,mu-no-ni-cha-u,Σ-no-ni-cha-u,Σ+no+ni+cha+u,Σ n o n i tʃ a u,Σ + n o + n i + tʃ a + u,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan112,che,3.sg.fut.neg,che-no-ning,Σ-no-ning,Σ+no+ni+ng,Σ n o n i ŋ,Σ + n o + n i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan113,che,3.pl.fut.neg,che-no-ni-u,Σ-no-ni-u,Σ+no+ni+u,Σ n o n i u,Σ + n o + n i + u,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan114,mu,3.sg.1.sg.fut.neg,ni-mu-no-ning,ni-Σ-no-ning,ni+Σ+no+ni+ng,n i Σ n o n i ŋ,n i + Σ + n o + n i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan115,mu,3.sg.1.pl.excl.fut.neg,ni-mu-no-ning,ni-Σ-no-ning,ni+Σ+no+ni+ng,n i Σ n o n i ŋ,n i + Σ + n o + n i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan116,mu,3.sg.1.pl.incl.fut.neg,ni-mu-no-ning,ni-Σ-no-ning,ni+Σ+no+ni+ng,n i Σ n o n i ŋ,n i + Σ + n o + n i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan117,mu,3.pl.1.sg.fut.neg,ni-mu-no-ni-u,ni-Σ-no-ni-u,ni+Σ+no+ni+u,n i Σ n o n i u,n i + Σ + n o + n i + u,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan118,mu,3.pl.1.pl.excl.fut.neg,ni-mu-no-ni-u,ni-Σ-no-ni-u,ni+Σ+no+ni+u,n i Σ n o n i u,n i + Σ + n o + n i + u,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan119,mu,3.pl.1.pl.incl.fut.neg,ni-mu-no-ni-u,ni-Σ-no-ni-u,ni+Σ+no+ni+u,n i Σ n o n i u,n i + Σ + n o + n i + u,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
