form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,analysis_tag,paradigm_tag,source,page,language_id
komlitan181,mu,1.pl.incl.3.pl.nfut.neg,mu-mak-sing,Σ-mak-sing,Σ+mak+si+ng,Σ m a k s i ŋ,Σ + m a k + s i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan182,che,2.sg.nfut.neg,che-mak-che,Σ-mak-Σ,Σ+mak+che,Σ m a k tʃ e,Σ + m a k + tʃ e,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan183,che,2.pl.nfut.neg,che-mak-cha-u,Σ-mak-cha-u,Σ+mak+cha+u,Σ m a k tʃ a u,Σ + m a k + tʃ a + u,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan184,che,2.sg.1.sg.nfut.neg,ni-mu-mak-che,ni-Σ-mak-Σ,ni+Σ+mak+che,n i Σ m a k tʃ e,n i + Σ + m a k + tʃ e,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan185,che,2.sg.1.pl.excl.nfut.neg,ni-mu-mak-che,ni-Σ-mak-Σ,ni+Σ+mak+che,n i Σ m a k tʃ e,n i + Σ + m a k + tʃ e,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan186,mu,2.pl.1.sg.nfut.neg,ni-mu-mak-cha-u,ni-Σ-mak-cha-u,ni+Σ+mak+cha+u,n i Σ m a k tʃ a u,n i + Σ + m a k + tʃ a + u,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan187,mu,2.pl.1.pl.excl.nfut.neg,ni-mu-mak-cha-u,ni-Σ-mak-cha-u,ni+Σ+mak+cha+u,n i Σ m a k tʃ a u,n i + Σ + m a k + tʃ a + u,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan188,che,2.sg.3.sg.nfut.neg,mu-mak-che,Σ-mak-Σ,Σ+mak+che,Σ m a k tʃ e,Σ + m a k + tʃ e,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan189,che,2.sg.3.pl.nfut.neg,mu-mak-che,Σ-mak-Σ,Σ+mak+che,Σ m a k tʃ e,Σ + m a k + tʃ e,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan190,mu,2.pl.3.sg.nfut.neg,mu-mak-cha-u,Σ-mak-cha-u,Σ+mak+cha+u,Σ m a k tʃ a u,Σ + m a k + tʃ a + u,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan191,mu,2.pl.3.pl.nfut.neg,mu-mak-cha-u,Σ-mak-cha-u,Σ+mak+cha+u,Σ m a k tʃ a u,Σ + m a k + tʃ a + u,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan192,che,3.sg.nfut.neg,che-mak,Σ-mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan193,che,3.pl.nfut.neg,che-mak-u,Σ-mak-u,Σ+mak+u,Σ m a k u,Σ + m a k + u,formal,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan194,che,3.pl.nfut.neg,che-ma-u,Σ-ma-u,Σ+ma+u,Σ m a u,Σ + m a + u,informal,fusion,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan195,mu,3.sg.1.sg.nfut.neg,ni-mu-mak,ni-Σ-mak,ni+Σ+mak,n i Σ m a k,n i + Σ + m a k,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan196,mu,3.sg.1.pl.excl.nfut.neg,ni-mu-mak,ni-Σ-mak,ni+Σ+mak,n i Σ m a k,n i + Σ + m a k,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan197,mu,3.sg.1.pl.incl.nfut.neg,ni-mu-mak,ni-Σ-mak,ni+Σ+mak,n i Σ m a k,n i + Σ + m a k,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan198,mu,3.pl.1.sg.nfut.neg,ni-mu-mak-u,ni-Σ-mak-u,ni+Σ+mak+u,n i Σ m a k u,n i + Σ + m a k + u,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan199,mu,3.pl.1.pl.excl.nfut.neg,ni-mu-mak-u,ni-Σ-mak-u,ni+Σ+mak+u,n i Σ m a k u,n i + Σ + m a k + u,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan200,mu,3.pl.1.pl.incl.nfut.neg,ni-mu-mak-u,ni-Σ-mak-u,ni+Σ+mak+u,n i Σ m a k u,n i + Σ + m a k + u,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan201,mu,3.sg.2.sg.nfut.neg,ni-mu-mak,ni-Σ-mak,ni+Σ+mak,n i Σ m a k,n i + Σ + m a k,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan202,mu,3.sg.2.pl.nfut.neg,ni-mu-mak,ni-Σ-mak,ni+Σ+mak,n i Σ m a k,n i + Σ + m a k,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan203,mu,3.pl.2.sg.nfut.neg,ni-mu-mak-u,ni-Σ-mak-u,ni+Σ+mak+u,n i Σ m a k u,n i + Σ + m a k + u,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan204,mu,3.pl.2.pl.nfut.neg,ni-mu-mak-u,ni-Σ-mak-u,ni+Σ+mak+u,n i Σ m a k u,n i + Σ + m a k + u,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan205,mu,3.sg.3.sg.nfut.neg,mu-mak,Σ-mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan206,mu,3.sg.3.pl.nfut.neg,mu-mak,Σ-mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan207,mu,3.pl.3.sg.nfut.neg,mu-mak-u,Σ-mak-u,Σ+mak+u,Σ m a k u,Σ + m a k + u,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan208,mu,3.pl.3.pl.nfut.neg,mu-mak-u,Σ-mak-u,Σ+mak+u,Σ m a k u,Σ + m a k + u,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
